,thresholds,precision,recall,f1_scores,matthews_corrcoef
860,0.43853712,0.3193430656934307,0.6118881118881119,0.41966426858513195,0.23517610061781888
861,0.43872786,0.31992687385740404,0.6118881118881119,0.42016806722689076,0.23597708557570035
862,0.43907818,0.32051282051282054,0.6118881118881119,0.420673076923077,0.23677914522877344
863,0.43917796,0.3211009174311927,0.6118881118881119,0.421179302045728,0.23758228652505042
864,0.4393211,0.32169117647058826,0.6118881118881119,0.4216867469879518,0.23838651644812675
865,0.44023946,0.32228360957642727,0.6118881118881119,0.4221954161640531,0.23919184201751303
866,0.44070327,0.3210332103321033,0.6083916083916084,0.42028985507246375,0.2363946926570033
867,0.4409513,0.32162661737523107,0.6083916083916084,0.4207980652962516,0.23720093098426442
868,0.44128963,0.32222222222222224,0.6083916083916084,0.4213075060532687,0.2380082773243535
869,0.44136527,0.3228200371057514,0.6083916083916084,0.42181818181818187,0.23881673881673882
870,0.44152856,0.32342007434944237,0.6083916083916084,0.4223300970873787,0.2396263226382734
871,0.44188744,0.3240223463687151,0.6083916083916084,0.4228432563791008,0.24043703600354463
872,0.44240317,0.3246268656716418,0.6083916083916084,0.4233576642335767,0.2412488861652266
873,0.4425225,0.3233644859813084,0.6048951048951049,0.42143727161997563,0.2384490165276537
874,0.4426608,0.32209737827715357,0.6013986013986014,0.4195121951219512,0.23564757292391772
875,0.44268534,0.3227016885553471,0.6013986013986014,0.42002442002442,0.2364601337825222
876,0.44297534,0.3233082706766917,0.6013986013986014,0.4205378973105134,0.2372738425677464
877,0.44320527,0.3239171374764595,0.6013986013986014,0.42105263157894735,0.2380887066700556
878,0.44327566,0.32452830188679244,0.6013986013986014,0.42156862745098034,0.23890473351968813
879,0.44450173,0.32514177693761814,0.6013986013986014,0.42208588957055215,0.23972193058702904
880,0.44508493,0.32386363636363635,0.5979020979020979,0.4201474201474201,0.2369177104223996
881,0.44540358,0.32447817836812143,0.5979020979020979,0.42066420664206644,0.23773584345547927
882,0.4467139,0.32509505703422054,0.5979020979020979,0.4211822660098522,0.23855516004987076
883,0.4469142,0.32571428571428573,0.5979020979020979,0.4217016029593095,0.239375667809793
884,0.44745114,0.3244274809160305,0.5944055944055944,0.41975308641975306,0.23656901525164478
885,0.44876698,0.3231357552581262,0.5909090909090909,0.4177997527812114,0.23376064024010532
886,0.44923195,0.3218390804597701,0.5874125874125874,0.4158415841584159,0.23095052219789125
887,0.44964048,0.32245681381957775,0.5874125874125874,0.4163568773234201,0.2317714213633518
888,0.4496478,0.3230769230769231,0.5874125874125874,0.4168734491315136,0.23259352185183216
889,0.44976622,0.3236994219653179,0.5874125874125874,0.4173913043478261,0.23341683142788813
890,0.45001334,0.32432432432432434,0.5874125874125874,0.417910447761194,0.2342413578994809
891,0.4504767,0.3230174081237911,0.583916083916084,0.41594022415940224,0.23142829937971365
892,0.4512944,0.3236434108527132,0.583916083916084,0.41645885286783046,0.23225375203956225
893,0.45164332,0.32427184466019415,0.583916083916084,0.4169787765293383,0.2330804356202754
894,0.45183033,0.32490272373540857,0.583916083916084,0.41750000000000004,0.2339083580740363
895,0.45202252,0.3235867446393762,0.5804195804195804,0.4155193992490613,0.23109253473678412
896,0.45241186,0.32421875,0.5804195804195804,0.41604010025062654,0.23192138891713912
897,0.4526393,0.32289628180039137,0.5769230769230769,0.41405269761606023,0.22910335372581356
898,0.45278996,0.3215686274509804,0.5734265734265734,0.4120603015075377,0.2262834004585912
899,0.45369303,0.32220039292730845,0.5734265734265734,0.4125786163522013,0.22711283948119448
900,0.45432815,0.32086614173228345,0.5699300699300699,0.4105793450881612,0.22429059505497007
901,0.4544704,0.3214990138067061,0.5699300699300699,0.4110970996216898,0.22512093852333495
902,0.4553191,0.3221343873517787,0.5699300699300699,0.41161616161616166,0.22595254624446154
903,0.45558074,0.3227722772277228,0.5699300699300699,0.41213653603034134,0.22678542644855165
904,0.45560408,0.32341269841269843,0.5699300699300699,0.41265822784810124,0.2276195874138372
